DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Omega-6 fatty acids levels (UKB data field 23445)	rs3764261	36764567	rs3764261_TC11	0
Free cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23582)	rs3764261	36764567	rs3764261_TC11	0
Cholesteryl esters to total lipids in very large VLDL percentage (UKB data field 23586)	rs3764261	36764567	rs3764261_TC11	0
Cholesterol to total lipids in very large VLDL percentage (UKB data field 23585)	rs3764261	36764567	rs3764261_TC11	0
Triglycerides in very large HDL (UKB data field 23557)	rs3764261	36764567	rs3764261_TC11	0
Cholesteryl esters to total lipids in large LDL percentage (UKB data field 23616)	rs3764261	36764567	rs3764261_TC11	0
Cholesterol to total lipids in large LDL percentage (UKB data field 23615)	rs3764261	36764567	rs3764261_TC11	0
Total esterified cholesterol levels (UKB data field 23415)	rs3764261	36764567	rs3764261_TC11	0
Triglyceride levels	rs3764261	38116116	rs3764261_TC11	0
High density lipoprotein cholesterol levels	rs3764261	33499410	rs3764261_TC11	0
Medication use (HMG CoA reductase inhibitors)	rs3764261	31015401	rs3764261_TC11	0
High density lipoprotein cholesterol levels	rs3764261	31211820	rs3764261_TC11	0
High density lipoprotein cholesterol levels	rs3764261	30911093	rs3764261_TC11	0
Serum levels of protein ANTXR1	rs3764261	35078996	rs3764261_TC11	0
DNPH1/PSMG3 protein level ratio	rs3764261	38412862	rs3764261_TC11	0
Serum levels of protein APOA5	rs3764261	35078996	rs3764261_TC11	0
Dyslipidemia	rs3764261	33893285	rs3764261_TC11	0
Triglycerides to total lipids ratio in small HDL	rs3764261	35213538	rs3764261_TC11	0
Ratio of triglycerides to phosphoglycerides	rs3764261	35213538	rs3764261_TC11	0
Phosphatidylcholine_34:0_[M+H]1+/Phosphatidylethanolamine_37:0_[M+H]1+/Phosphatidate_39:1_[M+NH4]1+ levels	rs3764261	34503513	rs3764261_TC11	0
Cholesterol to total lipids ratio in very large HDL	rs3764261	35213538	rs3764261_TC11	0
Total omega-6 fatty acid levels	rs3764261	35692035	rs3764261_TC11	0
Phospholipids to total lipids ratio in large HDL	rs3764261	38448586	rs3764261_TC11	0
Cholesteryl esters to total lipids ratio in IDL	rs3764261	38448586	rs3764261_TC11	0
Phospholipids to total lipids ratio in IDL	rs3764261	38448586	rs3764261_TC11	0
Triglycerides in medium HDL	rs3764261	38448586	rs3764261_TC11	0
Cholesteryl esters to total lipids ratio in large HDL	rs3764261	38448586	rs3764261_TC11	0
Cholesteryl esters to total lipids ratio in very large VLDL	rs3764261	38448586	rs3764261_TC11	0
Free cholesterol in very small VLDL	rs3764261	38448586	rs3764261_TC11	0
Total cholesterol to total lipids ratio in very large VLDL	rs3764261	38448586	rs3764261_TC11	0
Remnant cholesterol (non-HDL, non-LDL -cholesterol)	rs3764261	38448586	rs3764261_TC11	0
Concentration of very small VLDL particles	rs3764261	38448586	rs3764261_TC11	0
Total lipids in very small VLDL	rs3764261	38448586	rs3764261_TC11	0
Free cholesterol to total lipids ratio in small HDL	rs3764261	38448586	rs3764261_TC11	0
Triglycerides to total lipids ratio in very large VLDL	rs3764261	38448586	rs3764261_TC11	0
Total cholesterol in very small VLDL	rs3764261	38448586	rs3764261_TC11	0
Triglycerides to total lipids ratio in medium VLDL	rs3764261	38448586	rs3764261_TC11	0
Total cholesterol in small VLDL	rs3764261	38448586	rs3764261_TC11	0
Cholesterol esters in very small VLDL	rs3764261	38448586	rs3764261_TC11	0
Triglycerides in very small VLDL	rs3764261	38448586	rs3764261_TC11	0
HDL cholesterol levels	rs3764261	39414775	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C32:1 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C38:5 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C32:2 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C34:1 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C34:2 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C34:3 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C36:3 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C36:4 levels	rs3764261	33414548	rs3764261_TC11	0
Phosphatidylcholine acyl-alkyl C36:5 levels	rs3764261	33414548	rs3764261_TC11	0
Metabolic syndrome	rs3764261	38201907	rs3764261_TC11	0
Total cholines levels	rs3764261	35213538	rs3764261_TC11	0
HDL cholesterol levels	rs3764261	35289444	rs3764261_TC11	0
Non-HDL cholesterol levels	rs3764261	34887591	rs3764261_TC11	0
Metabolite levels (1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0))	rs3764261	37253714	rs3764261_TC11	0
Multi-trait sum score	rs3764261	37277458	rs3764261_TC11	0
Total cholesterol levels (MTAG)	rs3764261	37669986	rs3764261_TC11	0
Triglyceride levels (MTAG)	rs3764261	37669986	rs3764261_TC11	0
High-density lipoprotein levels (MTAG)	rs3764261	37669986	rs3764261_TC11	0
Height	rs3764261	36224396	rs3764261_TC11	0
Wilms tumor	rs3755132	22544364	rs3755132_TC11	0
Fractional exhaled nitric oxide (childhood)	rs3751972	24315451	rs3751972_TC11	0
Fractional exhaled nitric oxide (childhood)	rs3751972	24315451	rs3751972_TC11	0
Secretory phospholipase A2 receptor levels	rs3749117	34648354	rs3749117_BO11	0
Secretory phospholipase A2 receptor levels (PLA2R1.10916.44.3)	rs3749117	29875488	rs3749117_BO11	0
Waist-hip ratio	rs3747636	30595370	rs3747636_TC11	0
RR interval (heart rate)	rs3743200	20031603	rs3743200_BO11	0
Chronic obstructive pulmonary disease-related biomarkers	rs3741240	23144326	rs3741240_BO11	0
Serum levels of protein SCGB3A1	rs3741240	35078996	rs3741240_BO11	0
Serum CC16 levels	rs3741240	32839289	rs3741240_BO11	0
Intraocular pressure	rs3740471	29617998	rs3740471_BO11	0
Height	rs3733309	25429064	rs3733309_BO11	0
Height	rs3733309	35831902	rs3733309_BO11	0
Response to antidepressants	rs365836	22584459	rs365836_BO11	0
Plateletcrit	rs365836	32888494	rs365836_BO11	0
Red blood cell count	rs3617	27863252	rs3617_TC11	0
Hemoglobin levels	rs3617	32327693	rs3617_TC11	0
Pulse pressure	rs3617	27618447	rs3617_TC11	0
Autism spectrum disorder or schizophrenia	rs3617	28540026	rs3617_TC11	0
Body mass index	rs3617	36581621	rs3617_TC11	0
Schizophrenia	rs3617	29483656	rs3617_TC11	0
Schizophrenia	rs3617	30285260	rs3617_TC11	0
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs3617	30778226	rs3617_TC11	0
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs3617	30778226	rs3617_TC11	0
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs3617	30778226	rs3617_TC11	0
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs3617	30778226	rs3617_TC11	0
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs3617	30778226	rs3617_TC11	0
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs3617	30778226	rs3617_TC11	0
Body mass index	rs3617	37280435	rs3617_TC11	0
Eczema	rs36051895	30595370	rs36051895_BO11	0
Pediatric autoimmune diseases	rs36051895	26301688	rs36051895_BO11	0
Crohn's disease	rs36051895	37156999	rs36051895_BO11	0
Ulcerative colitis	rs36051895	37156999	rs36051895_BO11	0
Inflammatory bowel disease	rs36051895	37156999	rs36051895_BO11	0
Blood metabolite levels	rs35976024	31502714	rs35976024_TC11	0
Sjögren's syndrome	rs359457	24097067	rs359457_BO11	0
Crohn's disease	rs359457	21102463	rs359457_BO11	0
A body shape index	rs359457	34021172	rs359457_BO11	0
Inflammatory bowel disease	rs359457	37156999	rs359457_BO11	0
Risk-taking behavior (multivariate analysis)	rs359457	36324656	rs359457_BO11	0
Major depressive disorder	rs35936514	29495898	rs35936514_BO11	0
Inflammatory skin disease	rs35741374	25574825	rs35741374_BO11	0
Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect)	rs35741374	33385400	rs35741374_BO11	0
Psoriasis or type 2 diabetes (trans-disease meta-analysis)	rs35741374	33385400	rs35741374_BO11	0
Estimated glomerular filtration rate in non-diabetics	rs11959928	31451708	rs11959928_TC11	0
Chronic kidney disease	rs11959928	20383146	rs11959928_TC11	0
Glomerular filtration rate in non diabetics (creatinine)	rs11959928	26831199	rs11959928_TC11	0
Glomerular filtration rate (creatinine)	rs11959928	26831199	rs11959928_TC11	0
Estimated glomerular filtration rate	rs11959928	38190104	rs11959928_TC11	0
Fasting glucose	rs11920090	33402679	rs11920090_BC11	0
Fasting glucose	rs11920090	33402679	rs11920090_BC11	0
Fasting glucose	rs11920090	33402679	rs11920090_BC11	0
Fasting blood glucose	rs11920090	20081858	rs11920090_BC11	0
Homeostasis model assessment of beta-cell function	rs11920090	20081858	rs11920090_BC11	0
Fasting blood glucose (BMI interaction)	rs11920090	22581228	rs11920090_BC11	0
Fasting blood glucose	rs11920090	22581228	rs11920090_BC11	0
Fasting blood glucose	rs11920090	25631608	rs11920090_BC11	0
Crohn's disease	rs11894081	23266558	rs11894081_TC11	0
Fetal hemoglobin levels	rs11886868	18245381	rs11886868_TC11	0
Glycated hemoglobin levels	rs11861895	33462484	rs11861895_TC11	0
Multiple sclerosis	rs11852059	31604244	rs11852059_TC11	0
Osteoarthritis	rs11842874	21871595	rs11842874_BO11	0
Retinopathy in non-diabetics	rs11826937	23393555	rs11826937_BC11	0
Low density lipoprotein cholesterol levels	rs11783655	29507422	rs11783655_BC11	0
Height	rs11783655	25282103	rs11783655_BC11	0
Body mass index	rs6994670	26426971	rs6994670_BO11	0
Metabolite levels	rs6987588	23823483	rs6987588_TC11	0
Prostate cancer	rs6983267	25939597	rs6983267_TC11	0
Colorectal cancer	rs6983267	26151821	rs6983267_TC11	0
Colorectal cancer	rs6983267	29471430	rs6983267_TC11	0
Colorectal cancer	rs6983267	26965516	rs6983267_TC11	0
Colorectal cancer	rs6983267	29917119	rs6983267_TC11	0
Colorectal cancer or advanced adenoma	rs6983267	30510241	rs6983267_TC11	0
Prostate cancer	rs6983267	31562322	rs6983267_TC11	0
Colorectal cancer	rs6983267	31826910	rs6983267_TC11	0
Colorectal cancer	rs6983267	28960316	rs6983267_TC11	0
Prostate cancer	rs6983267	17401363	rs6983267_TC11	0
Colorectal cancer	rs6983267	18372905	rs6983267_TC11	0
Colorectal cancer	rs6983267	23266556	rs6983267_TC11	0
Colorectal cancer	rs6983267	17618284	rs6983267_TC11	0
Prostate cancer	rs6983267	18264096	rs6983267_TC11	0
Prostate cancer	rs6983267	18264097	rs6983267_TC11	0
Prostate cancer	rs6983267	21743057	rs6983267_TC11	0
Colorectal cancer	rs6983267	24836286	rs6983267_TC11	0
Prostate cancer	rs6983267	24753544	rs6983267_TC11	0
Prostate cancer (early onset)	rs6983267	24740154	rs6983267_TC11	0
Colorectal cancer	rs6983267	21242260	rs6983267_TC11	0
Prostate cancer	rs6983267	26034056	rs6983267_TC11	0
Prostate cancer	rs6983267	26034056	rs6983267_TC11	0
Prostate cancer	rs6983267	33398198	rs6983267_TC11	0
Prostate cancer	rs6983267	33398198	rs6983267_TC11	0
Prostate cancer	rs6983267	33398198	rs6983267_TC11	0
Prostate cancer	rs6983267	33398198	rs6983267_TC11	0
Rectal cancer	rs6983267	32887889	rs6983267_TC11	0
Cancer (pleiotropy)	rs6983267	32887889	rs6983267_TC11	0
Prostate cancer	rs6983267	37945903	rs6983267_TC11	0
Prostate cancer	rs6983267	37945903	rs6983267_TC11	0
Prostate cancer	rs6983267	37945903	rs6983267_TC11	0
Prostate cancer	rs6983267	37945903	rs6983267_TC11	0
Colorectal cancer	rs6983267	38872215	rs6983267_TC11	0
Colon polyp	rs6983267	34594039	rs6983267_TC11	0
Colorectal cancer	rs6983267	34594039	rs6983267_TC11	0
Colorectal cancer	rs6983267	30529582	rs6983267_TC11	0
Colorectal cancer	rs6983267	31089142	rs6983267_TC11	0
Prostate cancer	rs6983267	33293427	rs6983267_TC11	0
Cancer	rs6983267	34290314	rs6983267_TC11	0
Colorectal cancer	rs6983267	34290314	rs6983267_TC11	0
Prostate cancer	rs6983267	34290314	rs6983267_TC11	0
Colorectal cancer	rs6983267	36539618	rs6983267_TC11	0
Prostate-specific antigen levels	rs6983267	37264206	rs6983267_TC11	0
Colorectal cancer	rs6983267	38538606	rs6983267_TC11	0
Prostate cancer	rs6983267	38538606	rs6983267_TC11	0
Colorectal polyp (UKB data field 20002_1460)	rs6983267	37965154	rs6983267_TC11	0
ICD10 C18, C19, C20: colorectal cancer	rs6983267	37965154	rs6983267_TC11	0
Colorectal cancer (PheCode 153)	rs6983267	30104761	rs6983267_TC11	0
Triglyceride levels	rs6968865	32203549	rs6968865_BC11	0
Coffee consumption	rs6968865	21357676	rs6968865_BC11	0
Low density lipoprotein cholesterol levels	rs6968865	32493714	rs6968865_BC11	0
Coffee consumption (cups per day)	rs6968865	31217584	rs6968865_BC11	0
Estimated glomerular filtration rate (creatinine, cystatin c)	rs6968865	39256582	rs6968865_BC11	0
Free cholesterol in small VLDL	rs6968865	38448586	rs6968865_BC11	0
Total lipids in small VLDL	rs6968865	38448586	rs6968865_BC11	0
Concentration of small VLDL particles	rs6968865	38448586	rs6968865_BC11	0
Phospholipids in small VLDL	rs6968865	38448586	rs6968865_BC11	0
Total cholesterol levels in VLDL	rs6968865	38448586	rs6968865_BC11	0
Estimated glomerular filtration rate (creatinine)	rs6968865	39256582	rs6968865_BC11	0
F-chocolate/coffee liking (derived food-liking factor)	rs6968865	35585065	rs6968865_BC11	0
Coffee max liking	rs6968865	35585065	rs6968865_BC11	0
Cholesterol esters in medium VLDL	rs6968865	38448586	rs6968865_BC11	0
Serum total triglyceride levels	rs6968865	38448586	rs6968865_BC11	0
Ratio of apolipoprotein B to apolipoprotein A1 levels	rs6968865	38448586	rs6968865_BC11	0
Triglycerides in very small VLDL	rs6968865	38448586	rs6968865_BC11	0
Triglycerides in small HDL	rs6968865	38448586	rs6968865_BC11	0
Estimated glomerular filtration rate (creatinine)	rs6968865	35710981	rs6968865_BC11	0
Blood urea nitrogen levels	rs6968865	34272381	rs6968865_BC11	0
Estimated glomerular filtration rate (creatinine)	rs6968865	34272381	rs6968865_BC11	0
1-methylurate levels	rs6968865	36357675	rs6968865_BC11	0
Triglyceride levels in non-type 2 diabetes	rs6968865	36269708	rs6968865_BC11	0
Motion sickness	rs6946969	25628336	rs6946969_TC11	0
Lung function (FEV1/FVC)	rs694379	30595370	rs694379_BO11	0
Male-pattern baldness	rs6939130	30573740	rs6939130_BO11	0
Response to inhaled glucocorticoid treatment in asthma (change in FEV1)	rs6924808	25601762	rs6924808_BO11	0
Information processing speed	rs6922632	21130836	rs6922632_TC11	0
Height	rs6918981	19893584	rs6918981_TC11	0
Height	rs6918981	19396169	rs6918981_TC11	0
Height	rs6918981	25429064	rs6918981_TC11	0
Height	rs6918981	31217584	rs6918981_TC11	0
Height	rs6918981	35831902	rs6918981_TC11	0
Longevity	rs690136	31484785	rs690136_TC11	0
Crohn's disease	rs6887695	17554261	rs6887695_BO11	0
Type 2 diabetes	rs6887695	35893037	rs6887695_BO11	0
Crohn's disease	rs6863411	28067908	rs6863411_TO11	0
Inflammatory bowel disease	rs6863411	28067908	rs6863411_TO11	0
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	rs6863411	26974007	rs6863411_TO11	0
Inflammatory bowel disease	rs6863411	23128233	rs6863411_TO11	0
Ulcerative colitis	rs6863411	26192919	rs6863411_TO11	0
Crohn's disease	rs6863411	26192919	rs6863411_TO11	0
Chronic lymphocytic leukemia	rs6858698	24292274	rs6858698_TC11	0
Coronary artery disease	rs6842241	29212778	rs6842241_TC11	0
Peripheral artery disease	rs6842241	26488411	rs6842241_TC11	0
Intracranial aneurysm	rs6842241	22286173	rs6842241_TC11	0
acne vulgaris	rs6842241	35132056	rs6842241_TC11	0
Cotinine glucuronidation	rs6832720	25293881	rs6832720_TC11	0
Breast cancer	rs6828523	29059683	rs6828523_BO11	0
Breast cancer	rs6828523	32139696	rs6828523_BO11	0
Breast cancer	rs6828523	25751625	rs6828523_BO11	0
Breast cancer	rs6828523	25751625	rs6828523_BO11	0
Breast cancer	rs6828523	23535729	rs6828523_BO11	0
Metabolite levels	rs6820425	23823483	rs6820425_TC11	0
Response to antineoplastic agents	rs6785504	21659360	rs6785504_TC11	0
Breast cancer	rs6762558	38741014	rs6762644_BO11	25
Breast cancer	rs6762644	29059683	rs6762644_BO11	0
Breast cancer	rs6762644	32139696	rs6762644_BO11	0
Breast cancer	rs6762644	25751625	rs6762644_BO11	0
Breast cancer	rs6762644	25751625	rs6762644_BO11	0
Breast cancer	rs6762644	23535729	rs6762644_BO11	0
Mean platelet volume	rs6762	27863252	rs6762_BO11	0
Triglycerides	rs6754295	19060911	rs6754295_TC11	0
HDL cholesterol	rs6754295	19060911	rs6754295_TC11	0
Lipid metabolism phenotypes	rs6754295	19936222	rs6754295_TC11	0
Triglyceride levels	rs6754295	31217584	rs6754295_TC11	0
High density lipoprotein cholesterol levels	rs6754295	31217584	rs6754295_TC11	0
Ceramide_42:2_[M-H]1- levels	rs6754295	34503513	rs6754295_TC11	0
Triglyceride to HDL cholesterol ratio	rs6754295	38200128	rs6754295_TC11	0
Triglycerides to total lipids ratio in small VLDL	rs6754295	35213538	rs6754295_TC11	0
Height	rs6743963	30595370	rs6743963_BO11	0
Non-albumin protein levels	rs6740838	29403010	rs6740838_TC11	0
Atrial fibrillation	rs11773845	28416818	rs11773845_TC11	0
Atrial fibrillation	rs11773845	29892015	rs11773845_TC11	0
Atrial fibrillation	rs11773845	29892015	rs11773845_TC11	0
PR interval	rs11773845	23139255	rs11773845_TC11	0
PR interval	rs11773845	25035420	rs11773845_TC11	0
PR interval	rs11773845	31217584	rs11773845_TC11	0
Atrial fibrillation/atrial flutter	rs11773845	34594039	rs11773845_TC11	0
Atrial fibrillation	rs11773845	30061737	rs11773845_TC11	0
PR interval	rs11773845	30679814	rs11773845_TC11	0
Atrial fibrillation (MTAG)	rs11773845	35872910	rs11773845_TC11	0
QRS duration	rs11773845	36050321	rs11773845_TC11	0
Myopia	rs10500355	27182965	rs10500355_BC11	0
Spherical equivalent or myopia (age of diagnosis)	rs10500355	29808027	rs10500355_BC11	0
Refractive error	rs10500355	23474815	rs10500355_BC11	0
Cataracts	rs10500355	34127677	rs10500355_BC11	0
Interferon alpha levels in systemic lupus erythematosus	rs1049564	25338677	rs1049564_TC11	0
Protein quantitative trait loci (liver)	rs1049564	32778093	rs1049564_TC11	0
Serum levels of protein PNP	rs1049564	35078996	rs1049564_TC11	0
Schizophrenia	rs10489202	22037555	rs10489202_TC11	0
Obesity-related traits	rs10487245	23251661	rs10487245_BO11	0
Breast cancer	rs10474352	25038754	rs10474352_BO11	0
Breast cancer	rs10474352	29059683	rs10474352_BO11	0
Breast cancer	rs10474352	32139696	rs10474352_BO11	0
Blood protein levels	rs10471960	30072576	rs10471960_BO11	0
Heel bone mineral density	rs1043515	30595370	rs1043515_TC11	0
Height	rs1043515	31562340	rs1043515_TC11	0
Height	rs1043515	30595370	rs1043515_TC11	0
Height	rs1043515	20881960	rs1043515_TC11	0
Height	rs1043515	36224396	rs1043515_TC11	0
Height	rs1043515	39134668	rs1043515_TC11	0
Femoral neck width	rs1043515	38477772	rs1043515_TC11	0
Height	rs1043515	36224396	rs1043515_TC11	0
Blond vs. brown/black hair color	rs1042602	30531825	rs1042602_TC11	0
Brown vs. black hair color	rs1042602	30531825	rs1042602_TC11	0
Skin pigmentation	rs1042602	30664655	rs1042602_TC11	0
Hair color	rs1042602	30664655	rs1042602_TC11	0
Skin pigmentation	rs1042602	31315583	rs1042602_TC11	0
Hair color	rs1042602	30595370	rs1042602_TC11	0
Skin pigmentation	rs1042602	17999355	rs1042602_TC11	0
Freckles	rs1042602	17952075	rs1042602_TC11	0
Intraocular pressure	rs1042602	29617998	rs1042602_TC11	0
Hair color	rs1042602	29662168	rs1042602_TC11	0
Cortical surface area	rs1042602	34560273	rs1042602_TC11	0
Skin color	rs1042602	36672889	rs1042602_TC11	0
Cataracts	rs1042602	34594039	rs1042602_TC11	0
Macular thickness	rs1042602	30535121	rs1042602_TC11	0
Skin pigmentation traits	rs1042602	30166351	rs1042602_TC11	0
Retinal nerve fibre layer (RNFL) thickness	rs1042602	33979322	rs1042602_TC11	0
Ganglion cell inner plexiform layer (GCIPL) thickness	rs1042602	33979322	rs1042602_TC11	0
Retinal nerve fibre layer thickness or ganglion cell inner plexiform layer thickness (MTAG)	rs1042602	33979322	rs1042602_TC11	0
Brain shape (segment 122)	rs1042602	33821002	rs1042602_TC11	0
Systolic blood pressure	rs10423928	30578418	rs10423928_BC11	0
Predicted visceral adipose tissue	rs10423928	31501611	rs10423928_BC11	0
Body mass index	rs10423928	30595370	rs10423928_BC11	0
Blood urea nitrogen levels	rs10423928	29403010	rs10423928_BC11	0
Body mass index	rs10423928	31669095	rs10423928_BC11	0
Two-hour glucose challenge	rs10423928	20081857	rs10423928_BC11	0
Obesity	rs10423928	23563607	rs10423928_BC11	0
Adult body size	rs10423928	32376654	rs10423928_BC11	0
Pulse pressure	rs10423928	38689001	rs10423928_BC11	0
Whole body fat mass (UKB data field 23100)	rs10423928	38538606	rs10423928_BC11	0
Acetone levels	rs10423928	35213538	rs10423928_BC11	0
Oranges liking	rs10423928	35585065	rs10423928_BC11	0
Body mass index	rs10423928	39134668	rs10423928_BC11	0
Body surface area	rs10423928	36502284	rs10423928_BC11	0
Body mass index	rs10423928	37280435	rs10423928_BC11	0
Body mass index	rs10423928	38538606	rs10423928_BC11	0
Gall stone disease or coronary artery disease	rs10423928	37705021	rs10423928_BC11	0
Whole body fat free mass (UKB data field 23101)	rs10423928	38538606	rs10423928_BC11	0
Systolic blood pressure	rs10423928	38689001	rs10423928_BC11	0
Severe aplastic anemia	rs1042151	32004448	rs1042151_TC11	0
Aspirin exacerbated respiratory disease in asthmatics	rs1042151	23180272	rs1042151_TC11	0
Seropositivity for staphylococcus aureus peptide (twist_30077)	rs1042151	37164013	rs1042151_TC11	0
Multiple sclerosis	rs10230723	31604244	rs10230723_TC11	0
Disc degeneration (lumbar)	rs10214886	22993228	rs10214886_TC11	0
Primary biliary cholangitis	rs10168266	28425483	rs10168266_BO11	0
Sjögren's syndrome	rs10168266	24097066	rs10168266_BO11	0
Systemic lupus erythematosus (MTAG)	rs10168266	36750564	rs10168266_BO11	0
Age at smoking initiation in chronic obstructive pulmonary disease	rs1014246	21685187	rs1014246_BO11	0
Hair color	rs10101032	30595370	rs10101032_TC11	0
Type 2 diabetes	rs10096633	30297969	rs10096633_BO11	0
Triglyceride levels in HIV infection	rs10096633	33109212	rs10096633_BO11	0
Type 2 diabetes	rs10096633	32541925	rs10096633_BO11	0
Metabolic traits	rs10096633	19060910	rs10096633_BO11	0
Triglycerides	rs10096633	20139978	rs10096633_BO11	0
HDL cholesterol	rs10096633	21347282	rs10096633_BO11	0
Triglycerides	rs10096633	19060911	rs10096633_BO11	0
Mean corpuscular hemoglobin concentration	rs10096633	32888493	rs10096633_BO11	0
Triglyceride levels	rs10096633	31217584	rs10096633_BO11	0
High density lipoprotein cholesterol levels	rs10096633	31217584	rs10096633_BO11	0
Cholesteryl ester_18:0_[M+NH4]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Cholesteryl ester_18:1_[M+NH4]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_36:3_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_44:7_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_32:2_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_34:3_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_36:2_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_34:1_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Diacylglycerol_34:2_[M+H-H2O]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Phosphatidylcholine-O_31:0_[M+H]1+/Phosphatidylethanolamine-O_34:0_[M+H]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Phosphatidylcholine-O_32:1_[M+H]1+/Phosphatidylcholine-P_32:0_[M+H]1+/Phosphatidylethanolamine-O_35:1_[M+H]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Phosphatidylcholine-O_34:3_[M+H]1+/Phosphatidylcholine-P_34:2_[M+H]1+/Phosphatidylethanolamine-P_37:2_[M+H]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Phosphatidylcholine-O_34:1_[M+H]1+/Phosphatidylcholine-P_34:0_[M+H]1+/Phosphatidylethanolamine-O_37:1_[M+H]1+ levels	rs10096633	34503513	rs10096633_BO11	0
Cholesteryl esters to total lipids ratio in large LDL	rs10096633	35213538	rs10096633_BO11	0
Triglyceride levels in LDL	rs10096633	35213538	rs10096633_BO11	0
Cholesteryl ester levels in medium LDL	rs10096633	35213538	rs10096633_BO11	0
Phospholipids to total lipids ratio in large LDL	rs10096633	35213538	rs10096633_BO11	0
Concentration of LDL particles	rs10096633	35213538	rs10096633_BO11	0
Metabolic syndrome	rs10096633	38201907	rs10096633_BO11	0
Phospholipids to total lipids ratio in IDL	rs10096633	35213538	rs10096633_BO11	0
Triglyceride levels in IDL	rs10096633	35213538	rs10096633_BO11	0
Concentration of medium LDL particles	rs10096633	35213538	rs10096633_BO11	0
Free cholesterol levels in medium VLDL	rs10096633	35213538	rs10096633_BO11	0
Concentration of medium VLDL particles	rs10096633	35213538	rs10096633_BO11	0
Triglyceride levels in medium LDL	rs10096633	35213538	rs10096633_BO11	0
Phospholipid levels in medium VLDL	rs10096633	35213538	rs10096633_BO11	0
Omega-3 fatty acid levels	rs10096633	35213538	rs10096633_BO11	0
Apolipoprotein B levels	rs10096633	35213538	rs10096633_BO11	0
Cholesteryl ester levels in small LDL	rs10096633	35213538	rs10096633_BO11	0
Free cholesterol levels in small VLDL	rs10096633	35213538	rs10096633_BO11	0
Phospholipid levels in small VLDL	rs10096633	35213538	rs10096633_BO11	0
Cholesteryl ester levels in VLDL	rs10096633	35213538	rs10096633_BO11	0
Cholesterol levels in small VLDL	rs10096633	35213538	rs10096633_BO11	0
Concentration of small LDL particles	rs10096633	35213538	rs10096633_BO11	0
Cholesteryl ester levels in small VLDL	rs10096633	35213538	rs10096633_BO11	0
VLDL cholesterol levels	rs10096633	35213538	rs10096633_BO11	0
Polyunsaturated fatty acid levels	rs10096633	35213538	rs10096633_BO11	0
Total triglycerides levels	rs10096633	32226016	rs10096633_BO11	0
Total cholesterol to total lipids ratio in small VLDL	rs10096633	38448586	rs10096633_BO11	0
Cholesteryl esters to total lipids ratio in small VLDL	rs10096633	38448586	rs10096633_BO11	0
Free cholesterol to total lipids ratio in small VLDL	rs10096633	38448586	rs10096633_BO11	0
Triglycerides to total lipids ratio in small VLDL	rs10096633	38448586	rs10096633_BO11	0
Mean diameter of VLDL particles	rs10096633	38448586	rs10096633_BO11	0
Estimated degree of unsaturation	rs10096633	38448586	rs10096633_BO11	0
Triglycerides in LDL (UKB data field 23409)	rs10096633	36764567	rs10096633_BO11	0
Concentration of VLDL particles (UKB data field 23428)	rs10096633	36764567	rs10096633_BO11	0
